company,position,connected_on
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Main ICT and Information Security Supervisor,2021-04-27
Red Agile Latam,Co-Founder & Head of Agile Transformation,2021-04-27
UTEC - Universidad de Ingeniería y Tecnología,Asesora Comercial Postgrado,2021-04-22
IBM,Director | Global Chief Data Office | IBM,2021-04-16
Caja Rural Raíz,Analista de Finanzas,2021-04-16
AiTradingSoft,Forex Consultant,2021-04-15
Government of Canada,Lead Data Mining Engineer,2021-03-23
"Superintendencia de Banca, Seguros y AFP del Perú",Principal Banking Supervisor,2021-03-23
W. L. Gore & Associates,"Product, AI/ML",2021-03-18
Pacífico Seguros,Investment Intern,2021-02-24
Impetuh LLC,CEO,2021-02-13
Pacífico Seguros,Gerente Adjunto Actuarial,2021-02-12
FIT Academy,Instructor,2021-01-22
Protecta Security,Head of Alternatives,2020-12-11
"Superintendencia de Banca, Seguros y AFP del Perú",Asistente de Atención de Solicitudes,2020-10-19
CAJA TACNA,Oficial de Conducta de Mercado,2020-10-07
D'Sala Caffe,General Manager,2020-10-05
Storyblok,Talent Specialist,2020-10-05
Aberkyn,Global Practice Manager,2020-10-04
McKinsey & Company,Talent Attraction & Employer Branding Manager for Spanish Latam,2020-10-02
Government of British Columbia,Financial Analyst Co-op,2020-09-28
Fachhochschule Salzburg - University of Applied Sciences,Professor,2020-09-23
NYC Department of Education,Teacher,2020-09-22
Qualifacts,"Manager, Data Engineering",2020-09-16
University of Deusto,Vice-Rector for International Relations and Digital Transformation,2020-09-13
Pacífico Business School,Docente,2020-09-12
Cámara Chilena de la Construcción,Jefe de Gobierno de Datos y Procesos,2020-09-10
Albertsons Companies,Vice President of AI & Data Science,2020-09-09
Rimac Seguros y Reaseguros,Subgerente de Riesgos de Mercado y Credito,2020-09-09
Future of Work I Professional Development & Leadership ,Author and Speaker,2020-09-09
Liberty Seguros Perú,Chief Risk & Actuary Manager,2020-09-08
Banco de Crédito BCP,Gerente Adjunto de Proyectos en Seguridad/ Product Owner ,2020-09-07
"Mujeres Empresarias, Chile",Gerente Emprendimiento ,2020-09-03
Banco de Crédito BCP,Sub Gerente Adjunto Yape,2020-09-03
Samsung Electronics Perú,Digital Marketing Supervisor,2020-09-01
Pacífico Seguros,Agile Chapter Lead,2020-09-01
Fortuna Admissions,Director,2020-08-31
Universidad Norbert Wiener,Directora de Empleabilidad & Alumni e International Affairs Director,2020-08-31
Universidad ESAN,"Docente programas MBA y de especialización en Transformación Digital, Innovación, y Tecnología ",2020-08-29
Oracle,Customer Success Manager,2020-08-28
Pris Cortegana,Fotógrafo,2020-08-25
Coface,"Alternative Data Discovery, Group Information Services",2020-08-22
darquimacro sac,"DISEÑADOR  3D, ANIMADOR 3D, DIBUJANTE Y TOPOGRAFO.",2020-07-28
Banco de Crédito BCP,Sub gerente de Responsabilidad Social - Lider de desarrollo de Talento ,2020-07-09
CIRSA,Abogado y Coordinador Corporativo de Compliance,2020-07-09
EFIDE,Analista de Negocios Digitales Factoring,2020-07-03
TGS Sarrio & Asociados,Tax & Legal Director,2020-07-01
SciTheWorld,"Co-founder, CEO",2020-06-30
"Superintendencia de Banca, Seguros y AFPs del Perú",Especialista en Seguridad de Información y Continuidad Operacional,2020-06-30
ADR Advising,Designer,2020-06-30
Terminal Pesquero Lima Norte,Coordinador de comunicaciones de marketing,2020-06-30
Banco Central de Reserva del Perú - BCRP,Specialist in Capital Markets Research,2020-05-08
Ransa,Analista Junior de Gestión de Costos,2020-05-08
Finsmart Perú,Abogada Junior,2020-05-01
"Superintendencia de Banca, Seguros y AFP del Perú",Senior Metodología de Supervisión y Estrategias de Seguros,2020-05-01
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Supervisión de Microfinanzas,2020-04-05
BANCO GNB PERÚ,Subgerente del Centro de atención al Cliente y Medios de Pago,2020-03-17
Escritor - Autor,Escritor,2020-03-09
Wall Street English - Peru,Gerente Distrital,2020-03-09
ALIMENTARIE,CEO,2020-03-01
Interbank,Analista de Planeamiento Financiero,2020-02-27
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Seguros II ,2020-02-22
Scotiabank,"Senior Manager, Central Oversight",2020-02-19
Caja Metropolitana de Lima,Analista Gestión Integral de Agencias y Canales,2020-02-10
Farmacias Peruanas,Digital Product Manager Ecommerce & Call Center (Head Product Owner),2020-02-09
Universidad Nacional de Ingeniería,Instituto de Gestión de la Calidad,2020-02-06
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú","Supervisor de Riesgos de Mercado, Liquidez e Inversiones I",2020-01-25
Google,"Head of Ecosystem and Product Inclusion Partnerships, AI at Google",2020-01-22
Data Science Research Perú,Founder & Chief Executive Officer,2020-01-16
NYU Tisch School of the Arts,Graduate Assistant - Collective Narrative class,2020-01-15
Laboratorio Digital,Finance Assistant,2020-01-15
NOTARIA MEDINA RAGGIO,Administración,2020-01-15
Profesional independiente,Analista de datos,2020-01-15
Banco de Crédito BCP,Gerente Central Banca Mayorista,2020-01-13
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Inversiones de Seguros,2020-01-10
Pacífico Seguros,Analista de información,2020-01-09
"Superintendencia de Banca, Seguros y AFP del Perú",Actuarial Supervisor I (Actuarial Supervision Department),2020-01-08
SYSA,Gerente fundador,2020-01-05
Universidad del Pacífico (PE),Docencia,2020-01-02
Empresa,KAM Senior,2019-12-31
Financiera ProEmpresa,Analista de Finanzas y Tesorería,2019-12-31
El Catador,Analista de cuentas por pagar,2019-12-25
CGV & COMEX S.R.L.,Gerente general,2019-12-25
Quantex Capital,CEO,2019-12-25
Proveedor Integral de Precios,Capacitación en el área de finanzas y contabilidad,2019-12-13
"Superintendencia de Banca, Seguros y AFP del Perú",Analista,2019-12-11
Sunarp,Especialista en Marketing,2019-12-07
Jamestown,Senior Director - Head of Latin America ,2019-12-03
El Dorado Asset Management SAF,Founder & CEO ,2019-12-02
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de seguros,2019-12-02
Baker Tilly Perú Auditores y Consultores,Gerente de Consultoria y Riesgos Baker Tilly Perú Director de Riesgos Operacionales y Laborales,2019-12-02
Precisely | Trust in Data,Account Manager - LATAM ,2019-11-14
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Analista sénior II - Superintendencia Adjunta de Estudios Económicos,2019-11-11
Niubiz,Head de Implementación de Proyectos,2019-11-10
Ceplan - Centro Nacional de Planeamiento Estratégico,Consultor Económico,2019-11-09
"Superintendencia de Banca, Seguros y AFP del Perú",Inspector de inversiones de seguros,2019-11-02
Dayak Reynolds Ltd,Director Executive Search,2019-10-30
PERITOS TASADORES RIOS INGENIEROS S. R. L.,Gerente de Operaciones,2019-10-29
Protecta Insurance Company,Investment Manager,2019-10-24
maximixe,Banca de inversiones,2019-10-24
CITME,Gerente,2019-10-14
ESMERA- Asesoría y Recuperación,Especialista en Recuperación de Créditos y Asesoría Juridica,2019-10-14
ACN,Empresaria ,2019-10-14
Católica Emprende,CEO,2019-10-14
GRUPOS SAM,Supervisor de auditoría corporativo SAMCORP,2019-10-05
"Superintendencia de Banca, Seguros y AFP del Perú",Analista de Desarrollo Organizacional ,2019-10-05
INKA CROPS,Digital Transformation Advisor,2019-09-09
TCCT,Gerente Recursos Humanos en TCCT ,2019-09-09
Clínica Anglo Americana ,Subgerente de Cobranzas y Facturación,2019-07-26
Profesional independiente,Director de marketing regional,2019-07-23
empresa,Kam Senior,2019-07-18
Banca insurance,Sales And Marketing Specialist,2019-07-15
GLC Europe,Sales Manager,2019-07-09
Inexco Group,Regional Sales Director,2019-06-30
"Efficient Advice, LLC",Strategic Partnerships Manager,2019-06-25
Panther Oil,Cofounder and CEO PANTHEROIL USA,2019-06-09
Culqi,Jefe de Transformación Digital y Mejora Continua,2019-05-29
Jurado Nacional de Elecciones,Analista Programador,2019-05-28
LQ Bienes Raíces,Gerente general,2019-05-25
Universidad  ESAN,Miembro de la Asamblea General,2019-05-05
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Supervisión de Inversiones de Seguros,2019-05-05
Universidad Peruana de Ciencias Aplicadas,Docente de Arquitectura,2019-04-28
"Superintendencia de Banca, Seguros y AFP del Perú",Gerente de Gestión Humana,2019-04-28
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Supervisor actuarial I,2019-04-22
Rotman Student Investment Fund (RSIF),Equity Research Analyst,2019-04-20
Google,Technical Account Manager - Google Cloud,2019-04-17
IBM,"AI & Customer Care Sales Lead, Ontario & Atlantic",2019-04-16
PRS Prime Re Solutions,Director actuarial,2019-04-11
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Senior Economic Analyst,2019-04-05
P&D Andina Alimentos S.A.,Diseñador gráfico,2019-04-04
F & M CONSULTING S.A.C.,CEO,2019-03-29
Global Association of Risk Professionals (GARP),Director GARP Capitulo Perú,2019-03-14
TD Securities,Senior Analyst - Counterparty Credit Risk,2019-03-11
Innova Scientific Perú,Asesor comercial,2019-02-27
OTRO ENVIO,Gerente general,2019-02-21
ATS hacker,Co-Founder,2019-02-18
Lizigo,Chief Financial Officer,2019-02-12
Scotiabank,Strategy Director,2019-02-01
Pontificia Universidad Católica del Perú,Coordinadora de Implementación Curricular,2019-01-29
JOSE HUMBERTO CASTILLO RUIZ ING.,RESIDENTE DE OBRA,2019-01-18
Vanguard,"Head of Product, Americas",2019-01-17
Universidad Privada del Norte,Docente en Arquitectura - Jefe de Prácticas,2019-01-15
Universidad Peruana de Ciencias Aplicadas,Profesor universitario,2019-01-14
PGIM Real Estate,Head of America’s Business Development,2019-01-14
Santander Private Banking International,Senior Portfolio Manager,2019-01-13
WeWork,Gerente de Operaciones - Perú,2019-01-13
Inteligo Group,Jefe de distribución,2019-01-10
CAF - banco de desarrollo de América Latina,"Especialista Senior, Vicepresidencia de Infraestructura",2019-01-10
Yale University,Postdoctoral Associate,2019-01-07
Epifania Transport sac,공동 CEO,2019-01-05
"Superintendencia de Banca, Seguros y AFP del Perú",GESTOR DE DESARROLLO DE SISTEMAS,2019-01-05
Bolsa de Valores de Lima,Chief Digital Innovation,2019-01-04
Pacific Credit Rating,Gerente General ,2019-01-04
"Superintendencia de Banca, Seguros y AFP del Perú",Practicante de Inversión de Seguros,2019-01-03
inPERU,Miembro del Consejo Directivo,2018-12-16
Universidad Peruana de Ciencias Aplicadas,Professor,2018-12-05
TUPIA CONSULTORES Y AUDITORES,Senior Management Consultant,2018-12-05
COFIDE,Asistente de fideicomisos,2018-12-03
Grant Thornton Perú,Analista de back office,2018-11-28
CERTUS,Directora Educación Continua,2018-11-21
Microsoft,Senior Cloud Solution Architect,2018-11-20
 Tecnologías educativas, Tecnologías educativas,2018-11-06
CONSULTORES PERU,ANALISTA CONSULTOR DE RIESGOS Y SEGUROS ,2018-11-06
DAZN Group,Technical Program Manager,2018-11-01
....,Contador ,2018-10-31
Universidad Continental,Asesor legal Corporativo,2018-10-30
Sitech Perú,Chief Executive Officer,2018-10-20
Kallpa SAB,Directora,2018-10-13
Avanza Soluciones SAC,Information Technology Consultant,2018-10-12
M&G plc,Senior Actuary,2018-10-03
Grupo INMAC,Senior Logistikkoordinator,2018-09-27
Inversiones La Cruz,Supervisor Zonal de Negocios,2018-09-21
Santiago 2023,Sport Group Manager de Deportes Acuáticos,2018-09-18
COFIDE,Presidente de Directorio,2018-09-15
Etex,Operations Manager,2018-09-10
Profesional independiente,Coach y experta en desarrollo de personas. ,2018-09-07
Inversiones SURA,Gerente General Fondos Sura,2018-09-07
Profuturo AFP,Chief Investment Officer,2018-09-06
EY,Líder de Consultoría (FAAS) y Sostenibilidad & Cambio Climático  (CCaSS),2018-08-31
Banco de Crédito BCP,Gerencial Regional Banca de Negocios- Hub Navarrete ,2018-08-30
Atria,Director Financiero (CFO),2018-08-30
MS Consulting - Estrategias Corporativas,Gerente de Estrategia y Gestión Humana,2018-08-25
Grupo Celima Trebol,Jefe de Planeamiento y Control de Gestión,2018-08-23
HITSS Peru,Especialista Oracle,2018-08-22
Google,Head of Consumer and Market Insights -SpLatam,2018-08-16
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Head Of Department (Intendente DMSES),2018-08-14
Neptunia - Andino Investment Holding,Jefe de Tesorería,2018-08-10
"RENT PROSPER, LLC",Investment Property Manager,2018-08-06
MAXIMIXE,Gerente de Banca de Inversion,2018-08-06
EdTech Latam SAC,CEO & Founder,2018-08-02
SBS,Jefe de Supervisión de Inspección,2018-08-01
Ministerio de Trabajo y Promoción del Empleo,Procuraduría Pública,2018-08-01
Grupo Efe,Head of Compliance,2018-07-30
Scotiabank,"Director, Head of Digital Data & Analytics",2018-07-27
Banco de Crédito BCP,Gerente de División de Canales de Atención,2018-07-27
"Superintendencia de Banca, Seguros y AFP del Perú",Senior Supervisor of Credit Risk,2018-07-27
AFP Integra,Ejecutivo de cuentas preferentes Afp Integra,2018-07-13
Banco de Crédito BCP,Consultor de Riesgo Operativo,2018-07-04
TINSA PERÚ,Analista comercial superior,2018-07-04
ZAT Consulting,Advisory Specialist,2018-06-27
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Inversiones de Seguros II,2018-06-25
Clínica Internacional,People Analytics Specialist,2018-06-22
"Superintendencia de Banca, Seguros y AFP",Supervisor,2018-06-21
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Desarrollo y Supervisión ,2018-06-21
Autónomo,Consultor de Nóminas,2018-06-21
Consultor Independiente,"Consultor Líder de Sistemas de Gestión ISO 9001, ISO 14001, ISO 45001 (Freelancer)",2018-06-19
REGALSKY INVERSIONES SRL,Founding CEO,2018-06-14
The Joe Duncan Group,CEO & Founder,2018-06-05
Credicorp Capital,Middle Office Mutual Funds,2018-05-29
Katuq,Cofundador,2018-05-19
Microsoft,Software Engineer II,2018-05-04
Instituto de Gobernabilidad y Gobierno Corporativo - IGGC ESAN,Instituto de Gobernabilidad y Gobierno Corporativo - IGGC ESAN,2018-04-30
BBVA,Head of investment operations - BBVA BOLSA SAB,2018-04-30
Schneider Electric,Supervisor HSE,2018-04-30
Cooperativa BCRP,Gerente General,2018-04-22
Banco Central de Reserva del Perú,Global Macro Analyst,2018-04-18
Global Int. Projet ,Director General ,2018-04-17
Minsur S.A.,Especialista de Auditoría,2018-04-16
LIMA AIRPORT PARTNERS,Ingeniero civil,2018-04-16
"Superintendencia de Banca, Seguros y AFP",Jefe de Supervisión de Banca,2018-04-12
Green Capital SA,Chief Investment Officer,2018-04-06
"Superintendencia de Banca, Seguros y AFP",Superintendente Adjunto de la Unidad de Inteligencia Financiera,2018-04-04
TC1 Labs,Founder & Digital Transformation Manager,2018-03-23
HFE Berries PERU SAC,Sub Gerente de Recursos Humanos,2018-03-18
BILLEX Divisas,Gerente de operaciones,2018-03-18
Interbank,Especialista de Riesgos TI,2018-03-17
addactis,"Founder, Chairman of the Board of Directors, CEO ADDACTIS Group",2018-03-05
PIMCO,MBA Summer Intern,2018-03-02
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor Principal de Riesgo de Crédito,2018-02-24
ESAN Graduate School of Business,Profesor de post grado,2018-02-23
MileniumGroup ,Sr Account Executive,2018-02-21
"Superintendencia de Banca, Seguros y AFP",Dpto. de Administración de Personal - Gerencia de Gestión Humana,2018-02-17
Profesional independiente,Lider de Sandra Grandez - Soluciones emocionales ,2018-02-13
ESG GROUP,Director Gerenal,2018-02-05
GMD - Grupo Graña y Montero,Soporte de segundo nivel,2018-02-02
Ayni Research Consulting,Director Ejecutivo - Representante Legal.,2018-01-26
Poder Judicial del Perú,Coordinador Registro Distrital Judicial,2018-01-26
Banco Bci,CEO,2018-01-24
MALI – Museo de Arte de Lima,Docente de oratoria y liderazgo (educación virtual),2018-01-23
"Superintendencia de Banca, Seguros y AFP del Perú",Intendente de Supervisión Actuarial,2018-01-23
ARCADE-desarrollando talentos,Directora,2018-01-21
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Supervisor de Riesgo de Mercado y Liquidez,2018-01-20
FINANCIERA QAPAQ S.A.,Analista de BI,2018-01-20
Cosmograce SAC,Administrador,2018-01-20
Natu Peru Seeds,Jefe de Tesorería,2018-01-11
Google,SEO,2018-01-09
Universidad César Vallejo,Docente de postgrado,2018-01-04
Baker Tilly Perú - Auditores y Consultores,Gerente de Auditoria,2017-12-18
PRS Prime Re Solutions,Consulting Actuary and Chairman,2017-12-15
Universidad del Pacífico (PE),Coordinador de Data Intelligence,2017-12-14
OLANO WEST,Gerente ,2017-12-04
Consorcio Projusticia,Director,2017-11-28
GIUFER SAC,Gerente General,2017-11-20
"PROMiDAT Iberoamericano, SA",Directora General,2017-11-16
SHIFT.pe,Executive Director,2017-11-14
Universidad del Pacífico,Profesora ,2017-10-31
Capicua Full Stack Creative Hub,Node Sr. Developer - Back end Architect and Project Leader,2017-10-27
Block4e,Executive Director,2017-10-26
InferenceLabs9,Customer Development Manager - Latam,2017-10-26
Silabuz ,CEO and Cofounder,2017-10-25
Marketing en vivo,Director General,2017-10-25
VolcomCapital,Partner & Country Head Perú,2017-10-25
ROXFER INTERNATIONAL CONSULTING,DIRECTOR GENERAL,2017-10-23
Profesional independiente,Consultor independiente,2017-10-23
Compañia Petrolera & Gas Caro S.A.C.,Senior Commercial Executive,2017-10-23
COFIDE,Asistente de Risgos Global y de Mercado,2017-10-23
CONSTRUCTORES Y PERFORADORES CONTRATISTAS S.A.C.,Supervisor de obras,2017-10-21
Kyndryl,Solutions Manager,2017-10-21
Grupo INMAC,Lider de Proyectos,2017-10-20
TRANZACT Perú,Talent Acquisition Specialist IT,2017-10-20
Banco de Crédito BCP,JEFE DE PROCESOS DE NOMINA,2017-10-20
Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,"Advisor Sector Programme Financial Systems Development, Sustainable Finance and Investment ",2017-10-19
Banco Central de Reserva del Perú - BCRP,"Senior Portfolio Manager - Fixed Income, International Reserves",2017-10-19
Banco Bci Perú,Director of Finance,2017-10-18
Clicker,Founder & CEO,2017-10-17
SERVISOLUCIONES SAC,Gerente general,2017-10-16
LAMG: Consultoría en investigación económica,Gerente general,2017-10-16
Ricoh Latin America Inc,Regional Manager Graphic Communications RLA,2017-10-16
"Innovationship, LLC",Founder,2017-10-09
Hexagon PPM Sudamérica,Executive Industry Consultant,2017-10-09
 En busca de nuevos desafíos,Ejecutivo de Riesgos ,2017-10-09
GesNext,Senior IT Talent Acquisition Partner,2017-10-03
TC Energy,Stakeholder and Government Relations Manager,2017-10-02
CrediFace,CEO & Director,2017-10-02
Dentalab HR,Auxiliar administrativo,2017-09-25
SequSpace Pvt Ltd,Chief Product Officer,2017-09-25
Araya & Cia. Abogados,Gerente BPO - Peru,2017-09-22
Kallpa SAB,Gerente General,2017-09-21
Òptima Factoring Perú SAC,Facturas Negociables,2017-09-20
BBVA en Perú,Director Territorial Centro de Negocios / Head Fuerzas de Ventas Externas/Internas,2017-09-20
Scotiabank,Director of Product Design and Development - GTB,2017-09-19
X Capital,CEO,2017-09-18
"Superintendencia de Banca, Seguros y AFP del Perú",Head of Supervision of Pension Funds' Investments,2017-09-18
Interbank,CEO,2017-09-17
NTT DATA,Gerente General,2017-09-17
IBM,"Sales Director Technology Services IBM. Colombia, Perú, Ecuador, Venezuela, Bolivia, Centro América",2017-09-17
Compass Group Asset Management,Head of Institutional Sales and Business Development ,2017-09-16
BCP,Subgerente de Validación de Modelos de Riesgos Financieros,2017-09-15
Fábrica de Cubiertos S.A.,Asistente de Créditos y Cobranzas,2017-09-13
Banca de Inversiones & Suministros ,Sales Manager & Co-founder,2017-09-13
Banco Pichincha,Especialista Senior de Contabilidad ,2017-09-13
Servicio Público de Empleo Estatal SEPE,profesora del SEPE,2017-09-13
Trust Global Asesores en Finanzas Personales,CEO,2017-09-13
ENGIE Perú,Contador,2017-09-13
SERVIFASTPERU ,GERENTE COMERCIAL ,2017-09-13
"Superintendencia de Banca, Seguros y AFP del Perú","Intendente del Departamento de Supervisión Bancaria ""C""",2017-08-30
NIMBO Comunicaciones,Colaborador Externo,2017-08-24
La Siesta Vichayito,Propietaria,2017-08-21
IFBCERTUS,Docente,2017-08-20
Consultoria Estrategica Corporativa,Gerente,2017-08-20
OlamFX LTD,Chief Executive Director,2017-08-15
Learning on the go,Empresa dedicada a la enseñanza de Idiomas y Traducciones,2017-08-15
Consultor,Consultor independiente,2017-08-15
Fala Bem Portugues,Escuela de Portugués ,2017-07-25
Mondelēz International,Business Intelligence Analyst,2017-07-24
Corp,Asistente,2017-07-24
Pontificia Universidad Católica del Perú,Decano de la Escuela de Posgrado de la PUCP,2017-07-20
Banco de Bogotá,"Director de Planeación Financiera, Desarrollo Corporativo y Relación con Inversionistas",2017-07-16
BBVA,Associate Data Scientist - COE Internal Validation,2017-07-12
Credicorp Capital,Vice President of Portfolio Solutions,2017-07-11
Control Rooms Academy,Director General ,2017-07-10
Aula,Gerente de Comunicaciones,2017-07-07
LarrainVial,Co-Head Local Markets LatAm,2017-07-06
Credicorp Capital,Gerente de Riesgos,2017-07-06
XP INVESTIMENTOS,Vice President - Latin America Sales & Trading,2017-07-06
Caja de Pensiones Militar Policial,Head of Fixed Income (e),2017-07-06
Contact Americas,Director,2017-07-05
Omaha Capital Fondo de Inversión Privado,Fund Manager,2017-07-05
CAIA Latin America Chapter,Chapter Executive Peru,2017-07-05
Banco Central de Reserva del Perú,Subgerente de Operaciones de Política Monetaria ,2017-07-05
INLOG - Instituto Peruano de Logística Aplicada,Consultor Formación Profesional Dual,2017-07-05
REGIS-TR,Chief Risk Officer (CRO),2017-07-05
Tawa Perú,Analista Senior de estrategia comercial,2017-06-26
Universidad de Lima,Docente Universitario,2017-06-21
RSM France,Collaboratrice comptable,2017-06-21
Ministerio de Economía y Finanzas del Perú,Consultor de datos,2017-06-16
TeleTracking,Data Engineer II,2017-06-12
"Bluetab, an IBM Company",Experienced technician - Data modeler senior,2017-06-05
Santex,Software Engineer,2017-06-05
COPEINCA,Chief Information Security Officer,2017-05-29
"Ministerio de Vivienda, Construcción y Saneamiento",AGENTE INMOBILIARIO MVCS Nº PN 2233,2017-05-29
Incrementa la productividad de tus equipos comerciales,Director de proyecto,2017-05-23
Movistar (Telefónica Hispam),Enterprise Architect (Telefónica Hispam),2017-05-19
Pontificia Universidad Católica del Perú,Lead Business System Analyst,2017-05-17
Banco de Crédito BCP,Ejecutivo de Negocios BEX Digital,2017-05-05
MVT Consulting Group,AUDIT AND CONSULTING PARTNER AT MVT CONSULTING GROUP,2017-05-05
DATACONT S.A.C.,Jefe de Gestión Humana,2017-05-05
Zest,Founder,2017-04-26
B & F INTERAMERICAN SAC,Jefe de Tesoreria y Finanzas,2017-04-18
Se. De Arquitectura,Gerente de Proyectos,2017-04-18
Caja Arequipa,Jefe de Admisión y Seguimiento de Riesgo de Crédito,2017-04-14
Policía Nacional del Perú,Gral. PNP (R) con 35 años de servicio a su Institución Policial.,2017-04-05
Hapi App,Brand Ambassador,2017-04-05
MONTEBLANCO GLOBAL CONSULTING,Senior Executive President,2017-04-05
WiZink,Financial Reporting Analyst,2017-03-28
Agrícola Chapi,"Jefe de Reclutamiento, Retención y Transporte",2017-03-28
Prymera - Caja de Ahorro y Crédito,Director independiente,2017-03-23
Caja Arequipa,Jefe de Plataforma,2017-03-22
Ministerio de Trabajo y Promoción del Empleo,Especialista en Estadística y base de datos,2017-03-22
Toulouse Lautrec,Docente Coordinador de Formación Ejecutiva,2017-03-21
Universidad Peruana de Ciencias Aplicadas,Docente,2017-03-08
"Superintendencia de Banca, Seguros y AFP del Perú",Intendente de Microfinanzas,2017-03-08
"Superintendencia de Banca, Seguros y AFP del Perú",Analista de Regulación III,2017-03-07
Ac decoraciones,Decoradora ,2017-03-07
IFBCERTUS,Docente,2017-02-28
Rimac Seguros y Reaseguros,Artificial Intelligence (AI) Project Lead - CoE AI & Advanced Analytics,2017-02-28
AYCSAC,Jefe Corporativo de Ventas,2017-02-28
FINANCIERA CREDINKA,Especialista de Riesgo Operacional ,2017-02-28
TCapital Market,Director,2017-02-28
Finanty,HR Business Partner,2017-02-28
INEI- Instituto Nacional de Estadística e Informática,Monitor Nacional de Operaciones - Proyecto ENEDU - MINEDU 2018,2017-02-28
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Supervisor Principal de Seguros,2017-02-28
Facilitador en el área del Desarrollo del Talento Humano,VIVANCO NAKANO SAC,2017-02-28
PedidosYa,Regional Treasury Senior Analyst (South Zone),2017-02-14
BanBif,HR Business Partner,2017-02-07
International Monetary Fund,Economist,2017-02-06
ILLARI INGENIEROS,Jefe de proyectos,2017-01-25
Stealth Mode,Co-Founder,2017-01-21
Universidad César Vallejo,"Digital Project Manager | Cloud Architect (AWS, Azure, Huawei Cloud) | Moodle & Blackboard Expert ",2017-01-12
Municipalidad distrital de Miraflores,Especialista de Calidad Ambiental,2017-01-10
Centro de Peritaje del Colegio de Ingenieros del Perú Consejo Departamental de Lima,Perito en Ingeniera Electrónica,2017-01-07
La Positiva Seguros,Senior Investments Analyst,2017-01-07
CRATI Business Consulting,"Consultor en Transformación Digital , Innovación, emprendimiento y Agile Coach",2017-01-07
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Jefe de Supervisión del Sistema Financiero,2016-12-22
Odisec/Crediscotia,Gerente Zonal,2016-12-16
OSITRAN oficial,Analista Senior Regulatorio Financiero - Gerencia de Regulación y Estudios Económicos,2016-12-16
Swap,CEO & Founder,2016-12-07
Catatrepa S.A.,CEO - Founder,2016-12-06
Pronabec,Director de la Oficina de Innovacion y Tecnologia,2016-12-02
Tiendas Unidas Peruanas ,Community Manager,2016-11-25
MIT Sloan School of Management,MBA Candidate,2016-11-23
GCGAM - Global Capital Group Asset Management,Peru Operation Manager Global Capital Group (Securities offered through Tigress Financial Partners),2016-11-23
Claro Enterprise Solutions,Global Account Director,2016-11-22
Pontificia Universidad Católica del Perú,Ejecutiva de Capacitación en Empleabilidad - Dirección DAES,2016-11-22
UNIVERSIDAD NACIONAL DE INGENERIA,Jefe de la Oficina Central de Calidad Universitaria UNI,2016-11-16
VIU - Universidad Internacional de Valencia,Representante de admisiones,2016-11-11
Joinnus,Product Owner Jr.,2016-11-09
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Supervisión Actuarial,2016-11-08
Grupo SURA,Asesora legal externa,2016-11-06
Casmagu Representaciones,Supervisor de control de inventario,2016-11-03
Scotiabank,Internal Control Senior Manager,2016-10-25
Industrias San Miguel,gestor de ventas,2016-10-20
Báyental,Legal Manager,2016-10-20
TV3,Reporter,2016-10-14
LLAMA GAS S.A.,Supervisor comercial,2016-10-14
ALR Consultoría,Gerente general adjunto,2016-10-09
Ministerio de Economía y Finanzas del Perú,Coordinador Técnico Senior,2016-10-09
Organización Educativa TRILCE,Miembro del cuerpo docente,2016-10-05
Jamming - Coaching y Talento Humano,Consultor externo,2016-10-03
"IPEMEC, RENTA 4 SAB, NEGOCIOS BITCOIN CRIPTOMONEDAS, BANCO DE  COMERCIO","PRESIDENTE DIRECTOR, BROKER DE BOLSA, DIRECTOR Y GERENTE GENERAL",2016-09-28
COOPERATIVA DE AHORRO Y CREDITO ILO LTDA. 50,GERENTE GENERAL,2016-09-16
Derrama Magisterial,Planeamiento y Control de Gestión,2016-09-16
Estudio Warthon Abogados & Consultores,Socio Fundador / Director General,2016-09-16
Oficina de Normalización Previsional,Especialista de Continuidad de Negocios y Riesgos Tecnológicos,2016-09-12
FINANSUR,GERENTE DE AGENCIA,2016-09-08
Caja Sullana,Supervisor de Riesgo de Credito,2016-09-08
