company,position,connected_on,user
Brex,"Manager, Client Sales",2022-11-16,Camilo
Diesel & Motor Engineering PLC,Assistant Customer Account Manager,2022-11-15,Camilo
NatWest Markets Plc,Fixed Income Sales,2022-11-15,Camilo
Facultad de Derecho Pontificia Universidad Católica de Chile,Head Teaching Assistant,2022-11-13,Camilo
Babson College,Student Program Coordinator,2022-11-13,Camilo
Enseña Chile,Teacher,2022-11-13,Camilo
L.F.C. Securities Pvt. Ltd.,Intern,2022-11-11,Camilo
Aiera,CTO,2022-11-11,Camilo
IE Business School,MBA Candidate IE Business School IMBA Sep 2023 Intake,2022-11-11,Camilo
Raise Green,Impact Partner ,2022-11-11,Camilo
Megeve Investments,Private Equity Associate,2022-11-10,Camilo
Harvard University,Teaching Fellow - Economics Department,2022-11-10,Camilo
Babson College,MBA Candidate,2022-11-10,Camilo
MIT Sloan School of Management,MBA Candidate,2022-11-10,Camilo
Harvard University,Fellow “Advanced Leadership Initiative”,2022-11-10,Camilo
Babson College,MBA Graduate Student,2022-11-10,Camilo
Sudamerik || Administradora de Fondos de Inversión de Impacto,Fund Coordinator,2022-11-08,Camilo
Norvanda Healthcare,Business Development Sr. Manager,2022-11-08,Camilo
Brex,Product,2022-11-08,Camilo
SumUp,Project Manager - Global Expansion,2022-11-07,Camilo
Babson College,MBA Candidate,2022-11-07,Camilo
Babson College,Graduate Research Assistant,2022-11-07,Camilo
High Bridge Management Academy,Bootcamp Fellow,2022-11-07,Camilo
"ShipBob, Inc.",Project Manager,2022-11-06,Camilo
"LLC ""MANGOSTUDY"" (ManGo Study)","Founder, General Director",2022-11-05,Camilo
Forward Financing,Supervisor de operaciones,2022-11-04,Camilo
Fairmarkit,Associate Sales Director ,2022-11-04,Camilo
Fairmarkit,Creative Director,2022-11-04,Camilo
Melonn,Product Manager,2022-11-04,Camilo
"Jain Seth & Co, Chartered Accountants",Senior Audit Assistant,2022-11-03,Camilo
Studio Gütig,Product Strategy Manager,2022-11-03,Camilo
ARAUCO,Lawyer,2022-11-03,Camilo
Infostudy,Managing Partner,2022-11-01,Camilo
Magick Woods Exports Private Limited,"Manager, Sales & Marketing, North American Region",2022-11-01,Camilo
PRODIESA,Strategic Planning & Business Development Manager,2022-10-27,Camilo
Klaviyo,Senior Product Manager,2022-10-26,Camilo
St. Mark's School,Assistant Head of School/Dean of Faculty,2022-10-26,Camilo
Stiger Corp,Founder,2022-10-23,Camilo
Babson College,MBA Student,2022-10-22,Camilo
Hydra Trading,CEO/Founder,2022-10-21,Camilo
CareerKeyZa,Consultant,2022-10-17,Camilo
Shiva Tex fabrics,Company Owner,2022-10-15,Camilo
smallcase,Product Support Specialist,2022-10-14,Camilo
thenoblewanderer.com,Digital Marketer And Travel Blogger,2022-10-14,Camilo
Babson College,MBA Candidate,2022-10-13,Camilo
Babson College,MBA Candidate,2022-10-13,Camilo
Vyral Agency,Founder and CEO,2022-10-11,Camilo
Dialectica,Associate Manager - Americas,2022-10-10,Camilo
EMMA - Digital energy management,CEO & Founder EMMA Energy,2022-10-10,Camilo
Ayala SV Abogados,Associate,2022-10-07,Camilo
Salesforce,Chief Digital Evangelist,2022-10-07,Camilo
"Mori (formerly Cambridge Crops, Inc.)",Chief Strategy Officer & General Counsel,2022-10-06,Camilo
Banchile Inversiones,Subgerente Productos Balanceados,2022-10-06,Camilo
Babson College,MBA Candidate,2022-10-05,Camilo
Atom Learning ,Chief Product Officer,2022-10-04,Camilo
TikTok,Marketing Manager,2022-10-04,Camilo
MIT Sloan School of Management,MBA Candidate,2022-10-04,Camilo
CertaPro Painters of Southern NH,Owner & General Manager,2022-10-03,Camilo
Babson College,President,2022-10-03,Camilo
Inmobiliaria Solari ,Gerente Inmobiliario,2022-10-03,Camilo
Grupo AJE,"Global Portfolio Manager - new business for Asia, Africa, Latin America",2022-10-02,Camilo
Airpals Courier,Business Strategist Intern,2022-10-02,Camilo
KYR Capital,Managing Partner,2022-10-02,Camilo
Edstruments,Product Manager,2022-10-02,Camilo
Merama,Merchant Growth Manager,2022-10-02,Camilo
Arco Homes ,Construction Manager,2022-10-01,Camilo
Aceto,Director Of Pricing,2022-09-30,Camilo
MAPFRE,Consultant (Babson Consulting Experience),2022-09-30,Camilo
Turner Construction Company,Project Manager,2022-09-30,Camilo
Babson College,Strategic Data Analyst,2022-09-29,Camilo
Publishd,Co-founder & CEO,2022-09-29,Camilo
Akoya,Growth,2022-09-29,Camilo
Wipfli,Tax Manager,2022-09-28,Camilo
Viwa Corp,Commercial Director,2022-09-28,Camilo
MIT Sloan School of Management,MBA Candidate at MIT Sloan School of Management,2022-09-28,Camilo
Filia,Co-Founder,2022-09-28,Camilo
High Time Foods,Consultant,2022-09-27,Camilo
Organic Valley,Sales Planning & Strategy Intern,2022-09-27,Camilo
